name,circonscription,coalition,image_url
Fatou GUEYE,Pikine,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663343198_post.jpg
Birame Soulèye DIOP,Thies,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663332399_post.jpg
Ndèye Fatou GUISSÉ,Linguere,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507757256_post.JPG
Aïssatou SOW,Guediawaye,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411224843_post.jpg
Mame Guèye DIOP,Dakar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663438012_post.jpg
Sira NDIAYE,Mbour,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663582785_post.jpg
Rokhy NDIAYE,Kaolack,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663711900_post.JPG
Malick DIOP,Dakar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663342460_post.jpg
Mohamadou Mansor KÉBÉ,Afrique du Nord,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663450159_post.jpg
Mandiaye KÉBÉ,Guinguineo,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663449997_post.jpg
Malick KÉBÉ,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663449637_post.jpg
Ibrahima DIOP,"Europe de l’Ouest, d",WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663437916_post.jpg
Fatou SOW,Keur Massar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663722097_post.jpg
Mame Saye NDIAYE,Bambey,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663710896_post.jpg
Demba DIOP,Tivaouane,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507748817_post.JPG
Demba KA,Louga,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663448724_post.jpg
Nicolas NDIAYE,Mbour,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507694891_post.JPG
Aliou Demba SOW,Ranerou,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411333483_post.jpg
Matar DIOP,Mbacke,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663706486_post.jpg
Maïmouna SOW,Kebemer,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663722329_post.jpg
El Ibrahima NDIAYE,Koumpentoum,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
Ndeury LOUM,Birkelane,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663450211_post.JPG
Oulimata SIDIBÉ,Ziguinchor,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663720907_post.jpg
Thioro Fall NDIAYE,Louga,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663712058_post.jpg
